IUCN_Category,Species,Country,Value
Threatened indigenous species as % of indigenous spec.,Vascular plants,Finland,21.413
Number of critically endangered indigenous species,Birds,France,16
Total number of indigenous threatened species,Birds,France,92
Threatened species as % of known species,Mammals,France,13.6
Threatened species as % of known species,Birds,France,27.366
Threatened species as % of known species,Reptiles,France,23.684
Threatened species as % of known species,Amphibians,France,22.857
Threatened indigenous species as % of indigenous spec.,Birds,France,32.394
Total number of indigenous threatened species,Mammals,Germany,39
Total number of indigenous threatened species,Birds,Germany,94
Total number of indigenous threatened species,Reptiles,Germany,8
Total number of indigenous threatened species,Amphibians,Germany,8
Total number of indigenous threatened species,Vascular plants,Germany,1410
Threatened species as % of known species,Mammals,Germany,34.409
Threatened species as % of known species,Birds,Germany,35.606
Threatened species as % of known species,Reptiles,Germany,61.538
Threatened species as % of known species,Amphibians,Germany,36.364
Threatened species as % of known species,Vascular plants,Germany,27.384
Threatened indigenous species as % of indigenous spec.,Mammals,Germany,37.647
Threatened indigenous species as % of indigenous spec.,Birds,Germany,38.525
Threatened indigenous species as % of indigenous spec.,Reptiles,Germany,61.538
Threatened indigenous species as % of indigenous spec.,Amphibians,Germany,40
Threatened indigenous species as % of indigenous spec.,Vascular plants,Germany,30.332
Total number of indigenous threatened species,Mammals,Greece,29
Total number of indigenous threatened species,Birds,Greece,62
Total number of indigenous threatened species,Reptiles,Greece,9
Total number of indigenous threatened species,Amphibians,Greece,6
Threatened species as % of known species,Mammals,Greece,25.217
Threatened species as % of known species,Birds,Greece,14.091
Threatened species as % of known species,Reptiles,Greece,13.636
Threatened species as % of known species,Amphibians,Greece,26.087
Threatened species as % of known species,Vascular plants,Greece,4.359
Threatened indigenous species as % of indigenous spec.,Mammals,Greece,25.664
Threatened indigenous species as % of indigenous spec.,Birds,Greece,17.664
Threatened indigenous species as % of indigenous spec.,Reptiles,Greece,14.063
Threatened indigenous species as % of indigenous spec.,Amphibians,Greece,27.273
Total number of indigenous threatened species,Mammals,Hungary,14
Total number of indigenous threatened species,Birds,Hungary,78
Total number of indigenous threatened species,Reptiles,Hungary,4
Total number of indigenous threatened species,Amphibians,Hungary,2
Total number of indigenous threatened species,Vascular plants,Hungary,382
Threatened species as % of known species,Mammals,Hungary,16.092
Threatened species as % of known species,Birds,Hungary,17.931
Threatened species as % of known species,Reptiles,Hungary,26.667
Threatened species as % of known species,Amphibians,Hungary,11.111
Threatened species as % of known species,Vascular plants,Hungary,14.039
Threatened indigenous species as % of indigenous spec.,Mammals,Hungary,18.421
Threatened indigenous species as % of indigenous spec.,Birds,Hungary,18.571
Threatened indigenous species as % of indigenous spec.,Reptiles,Hungary,26.667
Threatened indigenous species as % of indigenous spec.,Amphibians,Hungary,11.111
Threatened indigenous species as % of indigenous spec.,Vascular plants,Hungary,15.701
Threatened species as % of known species,Birds,Iceland,44
Threatened species as % of known species,Vascular plants,Iceland,11.872
Total number of indigenous threatened species,Reptiles,Ireland,0
Total number of indigenous threatened species,Amphibians,Ireland,1
Total number of indigenous threatened species,Vascular plants,Ireland,101
Threatened species as % of known species,Mammals,Ireland,1.754
Threatened species as % of known species,Birds,Ireland,26.569
Threatened species as % of known species,Reptiles,Ireland,0
Threatened species as % of known species,Amphibians,Ireland,33.333
Threatened species as % of known species,Vascular plants,Ireland,9.619
Threatened indigenous species as % of indigenous spec.,Reptiles,Ireland,0
Threatened indigenous species as % of indigenous spec.,Amphibians,Ireland,33.333
Threatened indigenous species as % of indigenous spec.,Vascular plants,Ireland,9.619
Threatened species as % of known species,Mammals,Italy,18.254
Threatened species as % of known species,Birds,Italy,24.101
Threatened species as % of known species,Reptiles,Italy,19.643
Threatened species as % of known species,Amphibians,Italy,31.818
Threatened species as % of known species,Vascular plants,Italy,6.748
Threatened species as % of known species,Mammals,Japan,20.625
Threatened species as % of known species,Birds,Japan,14
Threatened species as % of known species,Reptiles,Japan,37
Threatened species as % of known species,Amphibians,Japan,38.158
Threatened species as % of known species,Vascular plants,Japan,25.514
Threatened species as % of known species,Mammals,Korea,11.2
Threatened species as % of known species,Birds,Korea,10.436
Threatened species as % of known species,Reptiles,Korea,15.625
Threatened species as % of known species,Amphibians,Korea,25
Threatened species as % of known species,Vascular plants,Korea,4.958
Total number of indigenous threatened species,Vascular plants,Luxembourg,354
Threatened species as % of known species,Birds,Luxembourg,19.847
Threatened species as % of known species,Reptiles,Luxembourg,33.333
Threatened species as % of known species,Amphibians,Luxembourg,28.571
Threatened species as % of known species,Vascular plants,Luxembourg,26.757
Threatened indigenous species as % of indigenous spec.,Vascular plants,Luxembourg,29.378
Total number of indigenous threatened species,Mammals,Mexico,82
Total number of indigenous threatened species,Birds,Mexico,97
Total number of indigenous threatened species,Reptiles,Mexico,112
Total number of indigenous threatened species,Amphibians,Mexico,49
Total number of indigenous threatened species,Vascular plants,Mexico,349
Threatened species as % of known species,Mammals,Mexico,26.773
Threatened species as % of known species,Birds,Mexico,20.859
Threatened species as % of known species,Reptiles,Mexico,17.314
Threatened species as % of known species,Amphibians,Mexico,12.349
Threatened species as % of known species,Vascular plants,Mexico,2.189
Threatened indigenous species as % of indigenous spec.,Mammals,Mexico,51.852
Threatened indigenous species as % of indigenous spec.,Birds,Mexico,42.708
Threatened indigenous species as % of indigenous spec.,Reptiles,Mexico,21.415
Threatened indigenous species as % of indigenous spec.,Amphibians,Mexico,16.667
Threatened indigenous species as % of indigenous spec.,Vascular plants,Mexico,2.297
Total number of indigenous known species,Amphibians,Netherlands,16
Number of critically endangered indigenous species,Amphibians,Netherlands,2
Threatened species as % of known species,Mammals,Netherlands,20.755
Threatened species as % of known species,Birds,Netherlands,24.4
Threatened species as % of known species,Reptiles,Netherlands,71.429
Threatened species as % of known species,Amphibians,Netherlands,43.75
Threatened species as % of known species,Vascular plants,Netherlands,25.52
Total number of indigenous threatened species,Mammals,New Zealand,10
Total number of indigenous threatened species,Birds,New Zealand,65
Total number of indigenous threatened species,Reptiles,New Zealand,37
Total number of indigenous threatened species,Amphibians,New Zealand,1
Total number of indigenous threatened species,Vascular plants,New Zealand,328
Threatened indigenous species as % of indigenous spec.,Mammals,New Zealand,27.027
Threatened indigenous species as % of indigenous spec.,Birds,New Zealand,29.954
Threatened indigenous species as % of indigenous spec.,Reptiles,New Zealand,34.906
Threatened indigenous species as % of indigenous spec.,Amphibians,New Zealand,25
Threatened indigenous species as % of indigenous spec.,Vascular plants,New Zealand,13.199
Total number of indigenous threatened species,Mammals,Norway,17
Total number of indigenous threatened species,Birds,Norway,46
Total number of indigenous threatened species,Amphibians,Norway,1
Total number of indigenous threatened species,Vascular plants,Norway,246
Threatened species as % of known species,Mammals,Norway,19.101
Threatened species as % of known species,Birds,Norway,17.424
Threatened species as % of known species,Amphibians,Norway,16.667
Threatened species as % of known species,Vascular plants,Norway,7.586
Threatened indigenous species as % of indigenous spec.,Mammals,Norway,23.288
Threatened indigenous species as % of indigenous spec.,Birds,Norway,19.828
Threatened indigenous species as % of indigenous spec.,Amphibians,Norway,16.667
Threatened indigenous species as % of indigenous spec.,Vascular plants,Norway,18.128
Number of endangered species,Amphibians,Poland,0
Total number of indigenous threatened species,Mammals,Poland,13
Total number of indigenous threatened species,Birds,Poland,34
Total number of indigenous threatened species,Reptiles,Poland,3
Total number of indigenous threatened species,Vascular plants,Poland,451
Threatened species as % of known species,Mammals,Poland,11.712
Threatened species as % of known species,Birds,Poland,7.64
Threatened species as % of known species,Reptiles,Poland,27.273
Threatened species as % of known species,Vascular plants,Poland,15.578
Threatened indigenous species as % of indigenous spec.,Mammals,Poland,13.131
Threatened indigenous species as % of indigenous spec.,Birds,Poland,7.745
Threatened indigenous species as % of indigenous spec.,Reptiles,Poland,37.5
Threatened indigenous species as % of indigenous spec.,Vascular plants,Poland,17.481
Total number of indigenous threatened species,Mammals,Portugal,31
Total number of indigenous threatened species,Birds,Portugal,111
Total number of indigenous threatened species,Reptiles,Portugal,10
Total number of indigenous threatened species,Amphibians,Portugal,2
Threatened species as % of known species,Mammals,Portugal,19.62
Threatened species as % of known species,Birds,Portugal,28.244
Threatened species as % of known species,Reptiles,Portugal,20.408
Threatened species as % of known species,Amphibians,Portugal,10
Threatened indigenous species as % of indigenous spec.,Mammals,Portugal,28.704
Threatened indigenous species as % of indigenous spec.,Birds,Portugal,30.663
Threatened indigenous species as % of indigenous spec.,Reptiles,Portugal,31.25
Threatened indigenous species as % of indigenous spec.,Amphibians,Portugal,11.765
Total number of indigenous threatened species,Mammals,Slovak Republic,20
Total number of indigenous threatened species,Birds,Slovak Republic,51
Total number of indigenous threatened species,Reptiles,Slovak Republic,5
Total number of indigenous threatened species,Amphibians,Slovak Republic,8
Threatened species as % of known species,Mammals,Slovak Republic,22.222
Threatened species as % of known species,Birds,Slovak Republic,24.171
Threatened species as % of known species,Reptiles,Slovak Republic,41.667
Threatened species as % of known species,Amphibians,Slovak Republic,44.444
Threatened species as % of known species,Vascular plants,Slovak Republic,14.562
Threatened indigenous species as % of indigenous spec.,Mammals,Slovak Republic,23.529
Threatened indigenous species as % of indigenous spec.,Reptiles,Slovak Republic,41.667
Threatened indigenous species as % of indigenous spec.,Amphibians,Slovak Republic,44.444
Total number of indigenous threatened species,Mammals,Spain,26
Total number of indigenous threatened species,Birds,Spain,66
Total number of indigenous threatened species,Reptiles,Spain,19
Total number of indigenous threatened species,Amphibians,Spain,9
Total number of indigenous threatened species,Vascular plants,Spain,881
Threatened species as % of known species,Mammals,Spain,14.943
Threatened species as % of known species,Birds,Spain,10.296
Threatened species as % of known species,Reptiles,Spain,18.269
Threatened species as % of known species,Amphibians,Spain,23.077
Threatened species as % of known species,Vascular plants,Spain,11.588
Total number of indigenous threatened species,Mammals,Sweden,14
Total number of indigenous threatened species,Birds,Sweden,52
Total number of indigenous threatened species,Reptiles,Sweden,2
Total number of indigenous threatened species,Amphibians,Sweden,5
Threatened species as % of known species,Mammals,Sweden,21.538
Threatened species as % of known species,Birds,Sweden,20.233
Threatened species as % of known species,Reptiles,Sweden,33.333
Threatened species as % of known species,Amphibians,Sweden,38.462
Threatened species as % of known species,Vascular plants,Sweden,17.297
Threatened indigenous species as % of indigenous spec.,Mammals,Sweden,21.538
Threatened indigenous species as % of indigenous spec.,Birds,Sweden,20.233
Threatened indigenous species as % of indigenous spec.,Reptiles,Sweden,33.333
Threatened indigenous species as % of indigenous spec.,Amphibians,Sweden,38.462
Total number of indigenous threatened species,Mammals,Switzerland,34
Total number of indigenous threatened species,Birds,Switzerland,71
Total number of indigenous threatened species,Reptiles,Switzerland,15
Total number of indigenous threatened species,Amphibians,Switzerland,13
Total number of indigenous threatened species,Vascular plants,Switzerland,670
Threatened indigenous species as % of indigenous spec.,Mammals,Switzerland,41.975
Threatened indigenous species as % of indigenous spec.,Birds,Switzerland,35.678
Threatened indigenous species as % of indigenous spec.,Reptiles,Switzerland,78.947
Threatened indigenous species as % of indigenous spec.,Amphibians,Switzerland,72.222
Threatened indigenous species as % of indigenous spec.,Vascular plants,Switzerland,25.641
Threatened species as % of known species,Mammals,Turkey,14.286
Threatened species as % of known species,Birds,Turkey,3.696
Threatened species as % of known species,Amphibians,Turkey,7.092
Threatened species as % of known species,Vascular plants,Turkey,10.951
Total number of indigenous threatened species,Mammals,United Kingdom,11
Total number of indigenous threatened species,Birds,United Kingdom,129
Total number of indigenous threatened species,Vascular plants,United Kingdom,366
Threatened species as % of known species,Vascular plants,United Kingdom,18.106
Total number of indigenous threatened species,Mammals,Chile,36
Total number of indigenous threatened species,Birds,Chile,46
Total number of indigenous threatened species,Reptiles,Chile,52
Total number of indigenous threatened species,Amphibians,Chile,44
Total number of indigenous threatened species,Vascular plants,Chile,426
Threatened species as % of known species,Mammals,Chile,19.459
Threatened species as % of known species,Birds,Chile,9.02
Threatened species as % of known species,Reptiles,Chile,41.935
Threatened species as % of known species,Amphibians,Chile,67.692
Threatened species as % of known species,Vascular plants,Chile,5.414
Threatened indigenous species as % of indigenous spec.,Mammals,Chile,22.222
Threatened indigenous species as % of indigenous spec.,Birds,Chile,9.237
Threatened indigenous species as % of indigenous spec.,Reptiles,Chile,42.623
Threatened indigenous species as % of indigenous spec.,Amphibians,Chile,68.75
Total number of indigenous threatened species,Mammals,Estonia,3
Total number of indigenous threatened species,Birds,Estonia,95
Total number of indigenous threatened species,Reptiles,Estonia,2
Total number of indigenous threatened species,Amphibians,Estonia,3
Total number of indigenous threatened species,Vascular plants,Estonia,204
Threatened species as % of known species,Mammals,Estonia,4.545
Threatened species as % of known species,Birds,Estonia,40.598
Threatened species as % of known species,Reptiles,Estonia,40
Threatened species as % of known species,Amphibians,Estonia,27.273
Threatened species as % of known species,Vascular plants,Estonia,10.134
Threatened indigenous species as % of indigenous spec.,Mammals,Estonia,5
Threatened indigenous species as % of indigenous spec.,Birds,Estonia,43.779
Threatened indigenous species as % of indigenous spec.,Reptiles,Estonia,40
Threatened indigenous species as % of indigenous spec.,Amphibians,Estonia,30
Threatened indigenous species as % of indigenous spec.,Vascular plants,Estonia,15.596
Total number of indigenous threatened species,Mammals,Israel,61
Total number of indigenous threatened species,Reptiles,Israel,35
Threatened indigenous species as % of indigenous spec.,Mammals,Israel,58.095
Threatened indigenous species as % of indigenous spec.,Reptiles,Israel,33.333
Total number of indigenous threatened species,Mammals,Slovenia,34
Total number of indigenous threatened species,Birds,Slovenia,105
Total number of indigenous threatened species,Reptiles,Slovenia,18
Total number of indigenous threatened species,Amphibians,Slovenia,17
Total number of indigenous threatened species,Vascular plants,Slovenia,334
Threatened species as % of known species,Mammals,Slovenia,38.202
Threatened species as % of known species,Birds,Slovenia,27.632
Threatened species as % of known species,Reptiles,Slovenia,75
Threatened species as % of known species,Amphibians,Slovenia,80.952
Threatened species as % of known species,Vascular plants,Slovenia,9.676
Threatened indigenous species as % of indigenous spec.,Birds,Slovenia,28.767
Threatened indigenous species as % of indigenous spec.,Reptiles,Slovenia,75
Threatened indigenous species as % of indigenous spec.,Amphibians,Slovenia,80.952
Threatened indigenous species as % of indigenous spec.,Vascular plants,Slovenia,10.709
Total number of indigenous known species,Vascular plants,Chile,4655
Number of critically endangered species,Mammals,Chile,3
Number of critically endangered species,Amphibians,Chile,10
Number of critically endangered species,Vascular plants,Chile,74
Number of critically endangered indigenous species,Mammals,Chile,3
Number of critically endangered indigenous species,Amphibians,Chile,10
Number of critically endangered indigenous species,Vascular plants,Chile,74
Threatened indigenous species as % of indigenous spec.,Vascular plants,Chile,6.025
Number of endangered indigenous species,Vascular plants,Sweden,114
Number of critically endangered indigenous species,Vascular plants,Sweden,43
Number of vulnerable indigenous species,Vascular plants,Sweden,113
Total number of indigenous threatened species,Vascular plants,Sweden,270
Threatened indigenous species as % of indigenous spec.,Vascular plants,Sweden,17.297
Total number of known species,Mosses,Canada,1373
Total number of indigenous known species,Mosses,Canada,1364
Number of endangered species,Mosses,Canada,85
Number of endangered species,Lichens,Canada,51
Number of vulnerable species,Mosses,Canada,134
Number of vulnerable species,Lichens,Canada,63
Total number of threatened species,Mosses,Canada,294
Total number of threatened species,Lichens,Canada,184
Number of endangered indigenous species,Mosses,Canada,85
Number of endangered indigenous species,Lichens,Canada,51
Number of vulnerable indigenous species,Mosses,Canada,134
Number of vulnerable indigenous species,Lichens,Canada,63
Total number of indigenous threatened species,Mosses,Canada,294
Total number of indigenous threatened species,Lichens,Canada,184
Threatened species as % of known species,Mosses,Canada,21.413
Threatened indigenous species as % of indigenous spec.,Mosses,Canada,21.554
Total number of known species,Mosses,Finland,892
Total number of known species,Lichens,Finland,1594
Total number of known species,Invertebrates,Finland,23950
Total number of indigenous known species,Mosses,Finland,892
Total number of indigenous known species,Lichens,Finland,1594
Total number of indigenous known species,Invertebrates,Finland,23950
Number of endangered species,Reptiles,Finland,0
Number of endangered species,Amphibians,Finland,1
Number of endangered species,Mosses,Finland,70
Number of endangered species,Lichens,Finland,81
Number of endangered species,Invertebrates,Finland,393
Number of critically endangered species,Reptiles,Finland,0
Number of critically endangered species,Amphibians,Finland,0
Number of critically endangered species,Mosses,Finland,37
Number of critically endangered species,Lichens,Finland,63
Number of critically endangered species,Invertebrates,Finland,123
Number of vulnerable species,Mosses,Finland,76
Number of vulnerable species,Lichens,Finland,124
Number of vulnerable species,Invertebrates,Finland,739
Total number of threatened species,Mosses,Finland,183
Total number of threatened species,Lichens,Finland,268
Total number of threatened species,Invertebrates,Finland,1255
Number of endangered indigenous species,Amphibians,Finland,1
Number of endangered indigenous species,Mosses,Finland,70
Number of endangered indigenous species,Lichens,Finland,81
Number of endangered indigenous species,Invertebrates,Finland,393
Number of critically endangered indigenous species,Mosses,Finland,37
Number of critically endangered indigenous species,Lichens,Finland,63
Number of critically endangered indigenous species,Invertebrates,Finland,123
Number of vulnerable indigenous species,Mosses,Finland,76
Number of vulnerable indigenous species,Lichens,Finland,124
Number of vulnerable indigenous species,Invertebrates,Finland,739
Total number of indigenous threatened species,Mosses,Finland,183
Total number of indigenous threatened species,Lichens,Finland,268
Total number of indigenous threatened species,Invertebrates,Finland,1255
Threatened species as % of known species,Mosses,Finland,20.516
Threatened species as % of known species,Lichens,Finland,16.813
Threatened species as % of known species,Invertebrates,Finland,5.24
Threatened indigenous species as % of indigenous spec.,Mosses,Finland,20.516
Threatened indigenous species as % of indigenous spec.,Lichens,Finland,16.813
Threatened indigenous species as % of indigenous spec.,Invertebrates,Finland,5.24
Total number of known species,Mosses,Germany,1195
Total number of known species,Lichens,Germany,2380
Total number of known species,Invertebrates,Germany,10434
Total number of indigenous known species,Mosses,Germany,1189
Total number of indigenous known species,Lichens,Germany,2380
Total number of indigenous known species,Invertebrates,Germany,10256
Number of endangered species,Mosses,Germany,114
Number of endangered species,Lichens,Germany,169
Number of endangered species,Invertebrates,Germany,1010
Number of critically endangered species,Amphibians,Germany,0
Number of critically endangered species,Mosses,Germany,45
Number of critically endangered species,Lichens,Germany,337
Number of critically endangered species,Invertebrates,Germany,559
Number of vulnerable species,Mosses,Germany,250
Number of vulnerable species,Lichens,Germany,546
Number of vulnerable species,Invertebrates,Germany,2183
Total number of threatened species,Mosses,Germany,409
Total number of threatened species,Lichens,Germany,1052
Total number of threatened species,Invertebrates,Germany,3752
Number of endangered indigenous species,Mosses,Germany,114
Number of endangered indigenous species,Lichens,Germany,169
Number of endangered indigenous species,Invertebrates,Germany,1010
Number of critically endangered indigenous species,Amphibians,Germany,0
Number of critically endangered indigenous species,Mosses,Germany,45
Number of critically endangered indigenous species,Lichens,Germany,337
Number of critically endangered indigenous species,Invertebrates,Germany,559
Number of vulnerable indigenous species,Mosses,Germany,250
Number of vulnerable indigenous species,Lichens,Germany,546
Number of vulnerable indigenous species,Invertebrates,Germany,2183
Total number of indigenous threatened species,Mosses,Germany,409
Total number of indigenous threatened species,Lichens,Germany,1052
Total number of indigenous threatened species,Invertebrates,Germany,3752
Threatened species as % of known species,Mosses,Germany,40.946
Threatened species as % of known species,Lichens,Germany,51.672
Threatened species as % of known species,Invertebrates,Germany,36.593
Threatened indigenous species as % of indigenous spec.,Mosses,Germany,40.946
Threatened indigenous species as % of indigenous spec.,Lichens,Germany,51.672
Threatened indigenous species as % of indigenous spec.,Invertebrates,Germany,36.921
Total number of known species,Invertebrates,Italy,58632
Number of endangered species,Invertebrates,Italy,136
Number of critically endangered species,Invertebrates,Italy,88
Number of vulnerable species,Invertebrates,Italy,232
Total number of threatened species,Invertebrates,Italy,456
Threatened species as % of known species,Invertebrates,Italy,0.778
Total number of known species,Invertebrates,Korea,27568
Number of endangered species,Invertebrates,Korea,43
Number of critically endangered species,Invertebrates,Korea,24
Number of vulnerable species,Invertebrates,Korea,137
Total number of threatened species,Invertebrates,Korea,204
Total number of indigenous threatened species,Mammals,Korea,0
Total number of indigenous threatened species,Birds,Korea,0
Total number of indigenous threatened species,Reptiles,Korea,0
Total number of indigenous threatened species,Amphibians,Korea,2
Total number of indigenous threatened species,Vascular plants,Korea,44
Threatened species as % of known species,Invertebrates,Korea,0.769
Total number of known species,Invertebrates,Luxembourg,149
Number of endangered species,Invertebrates,Luxembourg,7
Number of vulnerable species,Invertebrates,Luxembourg,9
Total number of threatened species,Invertebrates,Luxembourg,23
Threatened species as % of known species,Invertebrates,Luxembourg,15.436
Number of endangered species,Invertebrates,Mexico,24
Number of vulnerable species,Mosses,Mexico,2
Number of vulnerable species,Invertebrates,Mexico,26
Total number of threatened species,Invertebrates,Mexico,51
Number of endangered indigenous species,Invertebrates,Mexico,20
Number of vulnerable indigenous species,Invertebrates,Mexico,18
Total number of indigenous threatened species,Mosses,Mexico,0
Total number of indigenous threatened species,Invertebrates,Mexico,39
Total number of known species,Mosses,Netherlands,517
Total number of known species,Lichens,Netherlands,683
Total number of known species,Invertebrates,Netherlands,507
Number of endangered species,Mosses,Netherlands,27
Number of endangered species,Lichens,Netherlands,42
Number of endangered species,Invertebrates,Netherlands,60
Number of critically endangered species,Mosses,Netherlands,52
Number of critically endangered species,Lichens,Netherlands,49
Number of critically endangered species,Invertebrates,Netherlands,51
Number of vulnerable species,Mosses,Netherlands,43
Number of vulnerable species,Lichens,Netherlands,65
Number of vulnerable species,Invertebrates,Netherlands,51
Total number of threatened species,Mosses,Netherlands,122
Total number of threatened species,Lichens,Netherlands,156
Total number of threatened species,Invertebrates,Netherlands,162
Total number of indigenous threatened species,Amphibians,Netherlands,7
Threatened species as % of known species,Mosses,Netherlands,23.598
Threatened species as % of known species,Lichens,Netherlands,22.84
Threatened species as % of known species,Invertebrates,Netherlands,31.953
Threatened indigenous species as % of indigenous spec.,Amphibians,Netherlands,43.75
Total number of known species,Invertebrates,New Zealand,33000
Total number of indigenous known species,Mosses,New Zealand,525
Total number of indigenous known species,Lichens,New Zealand,2026
Total number of indigenous known species,Invertebrates,New Zealand,30700
Number of endangered species,Mosses,New Zealand,4
Number of endangered species,Lichens,New Zealand,2
Number of endangered species,Invertebrates,New Zealand,62
Number of critically endangered species,Mosses,New Zealand,14
Number of critically endangered species,Lichens,New Zealand,6
Number of critically endangered species,Invertebrates,New Zealand,133
Number of vulnerable species,Mosses,New Zealand,2
Number of vulnerable species,Lichens,New Zealand,8
Number of vulnerable species,Invertebrates,New Zealand,71
Total number of threatened species,Mosses,New Zealand,20
Total number of threatened species,Lichens,New Zealand,16
Total number of threatened species,Invertebrates,New Zealand,266
Number of endangered indigenous species,Mosses,New Zealand,4
Number of endangered indigenous species,Lichens,New Zealand,2
Number of endangered indigenous species,Invertebrates,New Zealand,62
Number of critically endangered indigenous species,Mosses,New Zealand,14
Number of critically endangered indigenous species,Lichens,New Zealand,6
Number of critically endangered indigenous species,Invertebrates,New Zealand,133
Number of vulnerable indigenous species,Mosses,New Zealand,2
Number of vulnerable indigenous species,Lichens,New Zealand,8
Number of vulnerable indigenous species,Invertebrates,New Zealand,71
Total number of indigenous threatened species,Mosses,New Zealand,20
Total number of indigenous threatened species,Lichens,New Zealand,16
Total number of indigenous threatened species,Invertebrates,New Zealand,266
Threatened species as % of known species,Invertebrates,New Zealand,0.806
Threatened indigenous species as % of indigenous spec.,Mosses,New Zealand,3.81
Threatened indigenous species as % of indigenous spec.,Lichens,New Zealand,0.79
Threatened indigenous species as % of indigenous spec.,Invertebrates,New Zealand,0.866
Total number of known species,Mosses,Norway,1085
Total number of known species,Lichens,Norway,2032
Total number of known species,Invertebrates,Norway,18010
Total number of indigenous known species,Mosses,Norway,1083
Total number of indigenous known species,Lichens,Norway,2031
Total number of indigenous known species,Invertebrates,Norway,17315
Number of endangered species,Mosses,Norway,61
Number of endangered species,Lichens,Norway,73
Number of endangered species,Invertebrates,Norway,459
Number of critically endangered species,Mosses,Norway,22
Number of critically endangered species,Lichens,Norway,45
Number of critically endangered species,Invertebrates,Norway,92
Number of vulnerable species,Mosses,Norway,59
Number of vulnerable species,Lichens,Norway,99
Number of vulnerable species,Invertebrates,Norway,706
Total number of threatened species,Mosses,Norway,142
Total number of threatened species,Lichens,Norway,217
Total number of threatened species,Invertebrates,Norway,1257
Number of endangered indigenous species,Mosses,Norway,61
Number of endangered indigenous species,Lichens,Norway,73
Number of endangered indigenous species,Invertebrates,Norway,459
Number of critically endangered indigenous species,Mosses,Norway,22
Number of critically endangered indigenous species,Lichens,Norway,45
Number of critically endangered indigenous species,Invertebrates,Norway,92
Number of vulnerable indigenous species,Mosses,Norway,59
Number of vulnerable indigenous species,Lichens,Norway,99
Number of vulnerable indigenous species,Invertebrates,Norway,706
Total number of indigenous threatened species,Mosses,Norway,142
Total number of indigenous threatened species,Lichens,Norway,217
Total number of indigenous threatened species,Invertebrates,Norway,1257
Threatened species as % of known species,Mosses,Norway,13.088
Threatened species as % of known species,Lichens,Norway,10.679
Threatened species as % of known species,Invertebrates,Norway,6.979
Threatened indigenous species as % of indigenous spec.,Mosses,Norway,13.112
Threatened indigenous species as % of indigenous spec.,Lichens,Norway,10.684
Threatened indigenous species as % of indigenous spec.,Invertebrates,Norway,7.26
Total number of known species,Mosses,Poland,702
Total number of known species,Lichens,Poland,1701
Total number of known species,Invertebrates,Poland,33872
Total number of indigenous known species,Mosses,Poland,696
Total number of indigenous known species,Lichens,Poland,1701
Total number of indigenous known species,Invertebrates,Poland,33637
Number of endangered species,Mosses,Poland,52
Number of endangered species,Lichens,Poland,201
Number of endangered species,Invertebrates,Poland,358
Number of critically endangered species,Lichens,Poland,179
Number of critically endangered species,Invertebrates,Poland,152
Number of vulnerable species,Mosses,Poland,31
Number of vulnerable species,Lichens,Poland,165
Number of vulnerable species,Invertebrates,Poland,571
Total number of threatened species,Mosses,Poland,83
Total number of threatened species,Lichens,Poland,545
Total number of threatened species,Invertebrates,Poland,1081
Number of endangered indigenous species,Mosses,Poland,52
Number of endangered indigenous species,Lichens,Poland,201
Number of endangered indigenous species,Invertebrates,Poland,358
Number of critically endangered indigenous species,Lichens,Poland,179
Number of critically endangered indigenous species,Invertebrates,Poland,152
Number of vulnerable indigenous species,Mosses,Poland,31
Number of vulnerable indigenous species,Lichens,Poland,165
Number of vulnerable indigenous species,Invertebrates,Poland,571
Total number of indigenous threatened species,Mosses,Poland,83
Total number of indigenous threatened species,Lichens,Poland,545
Total number of indigenous threatened species,Invertebrates,Poland,1081
Threatened species as % of known species,Mosses,Poland,11.823
Threatened species as % of known species,Lichens,Poland,32.04
Threatened species as % of known species,Invertebrates,Poland,3.191
Threatened indigenous species as % of indigenous spec.,Mosses,Poland,11.925
Threatened indigenous species as % of indigenous spec.,Lichens,Poland,32.04
Threatened indigenous species as % of indigenous spec.,Invertebrates,Poland,3.214
Total number of known species,Mosses,Slovak Republic,909
Total number of known species,Lichens,Slovak Republic,1508
Total number of known species,Invertebrates,Slovak Republic,24818
Number of endangered species,Mosses,Slovak Republic,104
Number of endangered species,Lichens,Slovak Republic,48
Number of endangered species,Invertebrates,Slovak Republic,401
Number of critically endangered species,Mosses,Slovak Republic,95
Number of critically endangered species,Lichens,Slovak Republic,140
Number of critically endangered species,Invertebrates,Slovak Republic,199
Number of vulnerable species,Mosses,Slovak Republic,112
Number of vulnerable species,Lichens,Slovak Republic,169
Number of vulnerable species,Invertebrates,Slovak Republic,1036
Total number of threatened species,Mosses,Slovak Republic,311
Total number of threatened species,Lichens,Slovak Republic,357
Total number of threatened species,Invertebrates,Slovak Republic,1636
Threatened species as % of known species,Mosses,Slovak Republic,34.213
Threatened species as % of known species,Lichens,Slovak Republic,23.674
Threatened species as % of known species,Invertebrates,Slovak Republic,6.592
Total number of known species,Mosses,Switzerland,996
Total number of known species,Lichens,Switzerland,713
Total number of known species,Invertebrates,Switzerland,3154
Total number of indigenous known species,Mosses,Switzerland,995
Total number of indigenous known species,Lichens,Switzerland,713
Total number of indigenous known species,Invertebrates,Switzerland,3039
Number of endangered species,Mosses,Switzerland,58
Number of endangered species,Lichens,Switzerland,96
